,plat,date,dia_set,pos_mes,days,hab,qty,kids,pets,reserva,sopars,dinars,esmort,begudes,mascotes,nado,impots,altres,subtot,total,increment,beuen,incrementen
1,1,43467,4,1,1,2,2,1,1,102,0,0,24,0,10,0,0,0,34,136,"0,25",0,0
2,1,43468,5,1,1,2,2,0,0,"64,32",40,0,24,0,0,0,0,"12,5","76,5","140,82","0,5432466979",0,1
3,1,43470,7,1,2,2,2,0,1,"128,64",16,0,40,0,20,0,0,0,76,"204,64","0,3713838937",0,1
4,2,43472,2,1,1,1,2,0,0,"75,17",0,0,0,0,0,0,0,0,0,"75,17",0,0,0
5,1,43472,2,1,2,1,2,0,1,"128,84",28,0,48,0,20,0,0,107,203,"331,84","0,6117405979",0,1
6,2,43472,2,1,2,2,2,0,0,"100,22",0,0,24,0,20,0,0,0,44,"144,22","0,3050894467",0,1
7,1,43475,5,1,1,3,2,0,0,204,0,0,30,4,0,28,3,0,65,269,"0,2416356877",1,0
8,1,43475,5,1,1,3,2,0,0,"63,52",30,0,24,0,0,0,0,6,60,"123,52","0,4857512953",0,1
9,1,43476,6,2,1,2,2,0,0,102,24,0,12,2,0,0,1,0,39,141,"0,2765957447",1,1
10,2,43481,4,2,2,2,2,0,0,"146,48",56,20,24,3,0,0,2,0,105,"251,48","0,4175282329",1,1
11,1,43483,6,2,1,2,2,0,0,"115,2",0,0,0,0,0,0,0,0,0,"115,2",0,0,0
12,1,43483,6,2,1,2,2,0,2,"122,4",0,0,0,0,20,0,0,2,22,"144,4","0,1523545706",0,0
13,1,43485,1,2,1,3,4,1,0,"230,4",84,0,0,0,0,10,0,279,373,"603,4","0,6181637388",0,1
14,1,43485,1,2,3,3,2,0,0,306,66,0,36,"14,5",0,0,3,0,"119,5","425,5","0,2808460635",1,1
15,1,43486,2,3,1,4,2,1,0,102,0,0,28,0,0,0,0,0,28,130,"0,2153846154",0,0
16,1,43486,2,3,1,1,2,0,0,170,0,0,24,0,0,0,0,0,24,194,"0,1237113402",0,0
17,1,43487,3,3,2,2,2,0,0,204,36,0,56,0,0,0,0,8,100,304,"0,3289473684",0,1
18,1,43489,5,3,1,3,4,0,0,204,0,0,48,0,0,0,2,0,50,254,"0,1968503937",0,0
19,4,43490,6,3,2,1,2,0,0,260,0,0,0,0,0,0,0,28,28,288,"0,09722222222",0,0
20,1,43490,6,3,1,2,2,0,0,"193,8",80,0,42,0,0,0,0,14,136,"329,8","0,412371134",0,1
21,1,43490,6,3,1,4,2,0,0,"122,4",34,0,0,9,0,0,1,0,44,"166,4","0,2644230769",1,1
22,2,43490,6,3,1,2,2,0,0,"77,1",32,0,0,0,0,0,0,34,66,"143,1","0,4612159329",0,1
23,1,43490,6,3,1,4,2,0,0,"105,6",0,0,0,0,0,0,0,0,0,"105,6",0,0,0
24,1,43490,6,3,2,2,2,0,0,"160,32",94,0,24,0,0,0,0,2,120,"280,32","0,4280821918",0,1
25,1,43491,7,3,1,3,2,0,0,"112,2",0,0,0,0,0,0,0,0,0,"112,2",0,0,0
26,1,43492,1,3,1,3,2,0,0,"122,4",0,0,0,0,0,0,0,0,0,"122,4",0,0,0
27,1,43492,1,3,1,4,2,1,1,144,0,0,0,0,0,0,0,0,0,144,0,0,0
28,2,43491,7,3,3,3,3,0,0,"231,29",40,0,12,0,0,0,0,12,64,"295,29","0,2167360899",0,0
29,1,43492,1,3,1,4,2,0,0,"122,4",36,0,0,0,0,0,0,"8,7","44,7","167,1","0,2675044883",0,1
30,2,43492,1,3,1,4,2,0,0,"77,1",30,0,24,0,0,0,0,"2,5","56,5","133,6","0,4229041916",0,1
31,1,43493,2,3,1,4,6,0,0,357,0,0,0,0,0,0,0,0,0,357,0,0,0
32,1,43493,2,3,1,2,2,0,1,"91,8",0,0,24,0,0,0,0,0,24,"115,8","0,207253886",0,0
33,1,43499,1,1,1,2,2,0,0,"129,2",0,0,0,0,0,0,1,5,6,"135,2","0,04437869822",0,0
34,1,43498,7,1,1,1,2,0,0,"197,2",0,0,0,0,10,0,0,0,10,"207,2","0,04826254826",0,0
35,1,43498,7,1,1,3,2,0,0,"91,8",0,0,28,0,0,0,0,0,28,"119,8","0,2337228715",0,0
36,2,43500,2,1,1,2,2,0,0,"36,62",10,0,12,0,0,0,1,0,23,"59,62","0,385776585",0,1
37,1,43500,2,1,1,1,2,0,0,170,0,0,0,0,0,0,0,0,0,170,0,0,0
38,1,43506,1,1,1,4,2,0,1,"68,34",0,0,0,0,15,0,0,0,15,"83,34","0,1799856012",0,0
39,1,43507,2,2,2,2,2,0,0,"136,68",80,0,48,0,0,0,0,4,132,"268,68","0,4912907548",0,1
40,4,43509,4,2,1,3,3,0,0,80,0,0,0,0,0,0,0,0,0,80,0,0,0
41,3,43510,5,2,1,1,2,0,0,"201,3",0,0,28,0,0,0,0,0,28,"229,3","0,1221107719",0,0
42,2,43510,5,2,4,2,2,1,0,"231,29",68,0,48,"72,5",0,0,4,0,"192,5","423,79","0,4542344086",1,1
43,1,43511,6,2,1,2,2,0,0,"129,2",20,0,0,0,0,0,1,0,21,"150,2","0,1398135819",0,0
44,1,43515,3,2,1,1,2,0,0,170,40,0,0,0,0,0,0,"4,4","44,4","214,4","0,2070895522",0,0
45,4,43523,4,3,4,3,2,0,0,194,80,0,24,22,0,0,2,0,128,322,"0,397515528",1,1
46,1,43524,5,3,2,3,2,0,0,"165,24",0,0,0,0,0,0,2,0,2,"167,24","0,01195886152",0,0
47,1,43525,6,1,1,2,2,0,0,"96,9",0,0,24,0,10,0,0,0,34,"130,9","0,2597402597",0,1
48,1,43525,6,1,1,3,2,0,0,"82,36",0,0,0,0,0,0,0,0,0,"82,36",0,0,0
49,2,43527,1,1,3,2,2,0,0,"231,29",0,0,0,0,0,0,0,0,0,"231,29",0,0,0
50,1,43528,2,1,1,4,2,0,0,"129,2",0,0,0,"2,5",0,0,1,0,"3,5","132,7","0,02637528259",1,0
51,2,43528,2,1,4,3,2,0,0,"308,38",78,0,48,0,40,56,3,0,225,"533,38","0,4218380892",0,1
52,1,43529,3,1,1,3,2,0,1,"96,9",0,0,0,0,14,0,0,0,14,"110,9","0,1262398557",0,0
53,1,43529,3,1,2,2,2,0,0,"165,24",0,0,0,0,0,0,0,0,0,"165,24",0,0,0
54,1,43529,3,1,2,4,2,0,0,"165,24",0,0,0,0,0,0,0,0,0,"165,24",0,0,0
55,1,43530,4,1,3,2,2,0,0,"226,75",40,0,0,0,42,0,3,0,85,"311,75","0,2726543705",0,1
56,2,43532,6,1,1,3,2,0,0,"57,82",0,0,0,0,0,0,0,0,0,"57,82",0,0,0
57,1,43535,2,2,1,4,2,0,0,"84,1",0,0,0,0,0,0,0,0,0,"84,1",0,0,0
58,1,43536,3,2,1,2,2,0,0,"56,35",46,0,0,0,0,0,0,0,46,"102,35","0,4494382022",0,1
59,1,43537,4,2,2,2,2,0,0,"156,06",56,0,0,24,0,0,2,0,82,"238,06","0,3444509787",1,1
60,1,43538,5,2,2,4,4,0,0,"224,26",0,0,0,0,0,0,2,26,28,"252,26","0,1109965908",0,0
61,1,43539,6,2,1,1,2,0,0,"140,17",0,0,0,0,0,0,0,7,7,"147,17","0,04756404158",0,0
62,1,43542,2,2,1,4,2,0,0,"56,35",80,0,0,0,0,0,2,"67,16","149,16","205,51","0,7258040971",0,1
63,1,43542,2,2,2,2,2,0,0,"156,06",54,0,0,"9,3",0,0,2,0,"65,3","221,36","0,294994579",1,1
64,1,43543,3,2,1,1,2,0,0,"188,7",24,0,0,0,14,0,1,18,57,"245,7","0,231990232",0,0
65,1,43544,4,2,1,3,2,0,1,"98,94",0,40,12,24,10,0,1,0,87,"185,94","0,4678928687",1,1
66,1,43546,6,3,1,3,2,0,0,"84,1",0,0,0,0,0,0,1,0,1,"85,1","0,01175088132",0,0
67,1,43548,1,3,2,3,2,0,0,"156,06",59,0,0,47,20,0,2,0,128,"284,06","0,4506090263",1,1
68,1,43549,2,3,2,2,2,0,0,"156,06","63,5",0,0,"33,3",0,0,2,0,"98,8","254,86","0,3876638154",1,1
69,1,43553,6,3,2,1,1,0,0,"260,1",24,0,0,0,0,0,1,0,25,"285,1","0,08768853034",0,0
70,1,43553,6,3,1,1,2,0,0,"193,8",12,0,0,0,0,0,1,60,73,"266,8","0,2736131934",0,1
71,1,43555,1,3,1,2,2,0,0,"46,95",0,0,0,0,0,0,0,0,0,"46,95",0,0,0
72,1,43556,2,1,2,2,2,0,0,"102,51",0,0,0,0,0,0,2,0,2,"104,51","0,0191369247",0,0
73,4,43557,3,1,2,4,2,0,0,125,38,0,0,7,0,0,2,0,47,172,"0,273255814",1,1
74,1,43558,4,1,3,2,2,0,0,"204,47",22,0,0,0,0,0,3,0,25,"229,47","0,1089467033",0,0
75,1,43558,4,1,2,2,2,0,0,"112,69",16,0,0,"17,6",0,0,2,0,"35,6","148,29","0,2400701328",1,0
76,1,43559,5,1,1,3,2,0,0,"91,8",20,0,12,2,10,0,1,0,45,"136,8","0,3289473684",1,1